"Kod";"Nazwa";"rynek pierwotny;ogółem;2018;[zł]";"rynek pierwotny;ogółem;2019;[zł]";"rynek pierwotny;ogółem;2020;[zł]";"rynek pierwotny;ogółem;2021;[zł]";"rynek pierwotny;ogółem;2022;[zł]";"rynek pierwotny;do 40 m2;2018;[zł]";"rynek pierwotny;do 40 m2;2019;[zł]";"rynek pierwotny;do 40 m2;2020;[zł]";"rynek pierwotny;do 40 m2;2021;[zł]";"rynek pierwotny;do 40 m2;2022;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2018;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2019;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2020;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2021;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2022;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2018;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2019;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2020;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2021;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2022;[zł]";"rynek pierwotny;od 80,1 m2;2018;[zł]";"rynek pierwotny;od 80,1 m2;2019;[zł]";"rynek pierwotny;od 80,1 m2;2020;[zł]";"rynek pierwotny;od 80,1 m2;2021;[zł]";"rynek pierwotny;od 80,1 m2;2022;[zł]";"rynek wtórny;ogółem;2018;[zł]";"rynek wtórny;ogółem;2019;[zł]";"rynek wtórny;ogółem;2020;[zł]";"rynek wtórny;ogółem;2021;[zł]";"rynek wtórny;ogółem;2022;[zł]";"rynek wtórny;do 40 m2;2018;[zł]";"rynek wtórny;do 40 m2;2019;[zł]";"rynek wtórny;do 40 m2;2020;[zł]";"rynek wtórny;do 40 m2;2021;[zł]";"rynek wtórny;do 40 m2;2022;[zł]";"rynek wtórny;od 40,1 do 60 m2;2018;[zł]";"rynek wtórny;od 40,1 do 60 m2;2019;[zł]";"rynek wtórny;od 40,1 do 60 m2;2020;[zł]";"rynek wtórny;od 40,1 do 60 m2;2021;[zł]";"rynek wtórny;od 40,1 do 60 m2;2022;[zł]";"rynek wtórny;od 60,1 do 80 m2;2018;[zł]";"rynek wtórny;od 60,1 do 80 m2;2019;[zł]";"rynek wtórny;od 60,1 do 80 m2;2020;[zł]";"rynek wtórny;od 60,1 do 80 m2;2021;[zł]";"rynek wtórny;od 60,1 do 80 m2;2022;[zł]";"rynek wtórny;od 80,1 m2;2018;[zł]";"rynek wtórny;od 80,1 m2;2019;[zł]";"rynek wtórny;od 80,1 m2;2020;[zł]";"rynek wtórny;od 80,1 m2;2021;[zł]";"rynek wtórny;od 80,1 m2;2022;[zł]";
0610000;"Powiat łęczyński";0;266159;0;0;;0;220490;0;0;;0;249189;0;0;;0;303038;0;0;;0;0;0;0;;177620;183475;198555;244090;;97300;120016;115782;152188;;173152;154908;192296;223885;;216000;239950;252525;253217;;0;0;0;357673;;
0611000;"Powiat łukowski";0;0;266241;267566;;0;0;0;185483;;0;0;208434;249434;;0;0;317625;343680;;0;0;0;0;;176618;191500;209570;222045;;124687;121839;132938;159258;;174038;194708;223232;235718;;223792;265000;302885;275000;;322400;295000;0;428333;;
0612000;"Powiat opolski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;129697;134884;131133;190266;;91514;97219;98400;141810;;136542;143289;141148;203735;;194077;195125;162643;259000;;0;0;0;0;;
0613000;"Powiat parczewski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;143386;168658;180143;176429;;72243;93417;116409;118300;;129234;149714;164214;192643;;205880;229200;218830;0;;0;0;0;0;;
0614000;"Powiat puławski";235847;230736;256751;257368;;142226;180400;143542;155211;;202014;253126;248227;261300;;300639;294422;303118;346370;;326038;334408;422244;410065;;178222;195934;212957;271526;;118044;118820;148542;173459;;191921;193868;229625;274106;;243944;257766;308230;349953;;314471;352507;386667;487671;;
0615000;"Powiat radzyński";169401;169760;167527;210306;;132622;99400;121046;0;;162759;149661;173506;203353;;211762;211398;193951;0;;0;0;0;0;;143634;150632;169596;182114;;111692;99123;149480;144091;;144946;158361;169467;183882;;172846;196045;194500;237571;;0;0;0;0;;
0616000;"Powiat rycki";229211;0;0;226844;;0;0;0;0;;208549;0;0;211006;;263647;0;0;0;;0;0;0;0;;136958;140458;166630;188739;;88844;98318;119906;153104;;141866;148515;166975;188673;;169833;183273;204333;227452;;195000;186000;265250;209250;;
0617000;"Powiat świdnicki";0;305871;340889;385187;;0;0;0;0;;0;264448;308592;317783;;0;362680;390233;394135;;0;0;0;526887;;179778;215237;247282;277735;;137164;152819;169840;198083;;198242;225967;253059;283816;;250847;284620;312841;364138;;0;444000;393470;510250;;
0618000;"Powiat tomaszowski";142395;226335;210869;0;;0;0;166035;0;;142395;0;202430;0;;0;206707;271922;0;;0;0;0;0;;131591;144310;141658;180687;;98156;100077;112107;148733;;130045;125586;135193;184138;;145696;190240;169658;198395;;198000;136750;0;191375;;
0619000;"Powiat włodawski";163306;0;136081;185122;;0;0;103440;0;;160932;0;155665;173830;;202274;0;0;0;;0;0;0;0;;105976;116151;132595;131653;;67278;87500;95417;88395;;118219;111071;141126;139450;;140927;165542;163357;187167;;144600;154413;0;0;;
